#First-Come First-Serve
Pid,CPUTime,StartBurstTime,EndBurstTime,Complete
17,8044,468,418,False
4,8100,164,114,False
14,8177,261,211,False
14,8254,211,161,False
17,8340,418,368,False
14,8417,161,111,False
13,8491,51,1,False
6,8553,289,239,False
10,8624,443,393,False
15,8704,712,662,False
13,8778,1,0,True
16,8809,379,329,False
16,8889,329,279,False
5,8948,216,166,False
4,9004,114,64,False
14,9078,111,61,False
10,9149,393,343,False
10,9220,343,293,False
3,9273,488,438,False
16,9353,279,229,False
9,9421,474,424,False
14,9495,61,11,False
5,9554,166,116,False
17,9637,368,318,False
16,9717,229,179,False
3,9770,438,388,False
4,9826,64,14,False
15,9903,662,612,False
6,9965,239,189,False
3,10018,388,338,False
8,10083,433,383,False
16,10163,179,129,False
14,10237,11,0,True
3,10251,338,288,False
3,10304,288,238,False
10,10375,293,243,False
18,10458,179,129,False
6,10520,189,139,False
5,10579,116,66,False
6,10641,139,89,False
5,10700,66,16,False
15,10774,612,562,False
9,10842,424,374,False
3,10895,238,188,False
17,10975,318,268,False
15,11049,562,512,False
10,11120,243,193,False
3,11173,188,138,False
9,11241,374,324,False
4,11297,14,0,True
3,11314,138,88,False
5,11370,16,0,True
6,11392,89,39,False
10,11457,193,143,False
10,11522,143,93,False
9,11584,324,274,False
17,11658,268,218,False
17,11732,218,168,False
16,11803,129,79,False
17,11877,168,118,False
10,11942,93,43,False
16,12013,79,29,False
3,12066,88,38,False
9,12128,274,224,False
9,12190,224,174,False
15,12258,512,462,False
6,12314,39,0,True
17,12374,118,68,False
8,12430,383,333,False
10,12492,43,0,True
15,12547,462,412,False
3,12600,38,0,True
9,12644,174,124,False
16,12706,29,0,True
15,12744,412,362,False
15,12803,362,312,False
8,12856,333,283,False
9,12912,124,74,False
8,12965,283,233,False
8,13018,233,183,False
15,13077,312,262,False
8,13130,183,133,False
9,13186,74,24,False
9,13242,24,0,True
8,13269,133,83,False
15,13325,262,212,False
17,13384,68,18,False
8,13437,83,33,False
17,13496,18,0,True
15,13520,212,162,False
15,13576,162,112,False
8,13629,33,0,True
15,13665,112,62,False
15,13718,62,12,False
18,13774,129,79,False
15,13827,12,0,True
18,13842,79,29,False
18,13895,29,0,True
" "
Average Turn Around Time: 10808
